IDчека,Дата и время,ИНН,IDПользователя,Товар,Бренд,Теги,Цена,Кол-во,Сумма,Кэшбэк
026904564ef7ed87f840d774ed239c96,26.11.2019 19:09,2310031475,ec4880b67ba2db3f1aef57aaf66b5d5a,camay т/мыло мадемуазель цветок лотуса 85г(юниле,,личная гигиена; мыло; красота и здоровье,1.0,1.0,1.0,
026904564ef7ed87f840d774ed239c96,26.11.2019 19:09,2310031475,ec4880b67ba2db3f1aef57aaf66b5d5a,dove крем-мыло красота и уход 100г(юнилевер):24,,крем-мыло; мыло; личная гигиена; красота и здоровье,79.0,1.0,79.0,
026904564ef7ed87f840d774ed239c96,26.11.2019 19:09,2310031475,ec4880b67ba2db3f1aef57aaf66b5d5a,fa гель д/душа пр бел чай/бамбук 750мл(мэзопласт,fa,красота и здоровье; гель для душа; личная гигиена,199.0,1.0,199.0,
026904564ef7ed87f840d774ed239c96,26.11.2019 19:09,2310031475,ec4880b67ba2db3f1aef57aaf66b5d5a,fax т/мыло лесные ягоды 75г(эвьяп сабун):72,fax,,19.0,1.0,19.0,
026904564ef7ed87f840d774ed239c96,26.11.2019 19:09,2310031475,ec4880b67ba2db3f1aef57aaf66b5d5a,loreal возраст эксперт крем пр/морщ 35+ день50мл,l'oreal,красота и здоровье; крем для лица; уход за лицом,191.8,1.0,191.8,
026904564ef7ed87f840d774ed239c96,26.11.2019 19:09,2310031475,ec4880b67ba2db3f1aef57aaf66b5d5a,mr.proper моющ жид д/пол и стен лаван спокойс 1л,mr. proper,средства для полов/ковров/мебели; жидкость; средство для мытья полов; хозяйственные товары,115.0,1.0,115.0,11.5
026904564ef7ed87f840d774ed239c96,26.11.2019 19:09,2310031475,ec4880b67ba2db3f1aef57aaf66b5d5a,soffione premio туалетная бумага лемонграсс 3сл,soffione,туалетная бумага; бумага/салфетки; хозяйственные товары,129.9,1.0,129.9,
026904564ef7ed87f840d774ed239c96,26.11.2019 19:09,2310031475,ec4880b67ba2db3f1aef57aaf66b5d5a,soft luxe бум/салф цвет однотон (м)50шт(россия):,,хозяйственные товары; салфетки; бумага/салфетки,20.0,1.0,20.0,
026904564ef7ed87f840d774ed239c96,26.11.2019 19:09,2310031475,ec4880b67ba2db3f1aef57aaf66b5d5a,synergetic ср-во д/мыт пос/дет игр апельсин 1л(с,synergetic,уход за ребенком,89.0,1.0,89.0,
026904564ef7ed87f840d774ed239c96,26.11.2019 19:09,2310031475,ec4880b67ba2db3f1aef57aaf66b5d5a,zewa бумажные полотенца2сл 2рул премиум декор(эс,zewa,,67.0,1.0,67.0,
026904564ef7ed87f840d774ed239c96,26.11.2019 19:09,2310031475,ec4880b67ba2db3f1aef57aaf66b5d5a,пакет магнит косметик больш(пластиктрейд):100/15,магнит косметик,пакеты; прочее; упаковка,5.9,1.0,5.9,
026904564ef7ed87f840d774ed239c96,26.11.2019 19:09,2310031475,ec4880b67ba2db3f1aef57aaf66b5d5a,чл бальзам-опол sos-эффект/миц бальзам 230мл(юни,,,64.2,1.0,64.2,
026904564ef7ed87f840d774ed239c96,26.11.2019 19:09,2310031475,ec4880b67ba2db3f1aef57aaf66b5d5a,чл шампунь sos-эффект/миц шампунь гранат 400мл(ю,,красота и здоровье; гигиена волос; шампунь для волос,83.7,1.0,83.7,
02694fecf588a0e38de2720f6dc83fdf,08.01.2020 14:36,7810495210,72a277c26b40395112a9b4b9ce3c38b3,4015400437932 naturella classic прокладки night 14шт,naturella,красота и здоровье; личная гигиена; прокладки,123.0,1.0,123.0,13.0
02694fecf588a0e38de2720f6dc83fdf,08.01.2020 14:36,7810495210,72a277c26b40395112a9b4b9ce3c38b3,4600697130903 уш.н. для детей шампунь детский 200мл,,,60.8,1.0,60.8,
02694fecf588a0e38de2720f6dc83fdf,08.01.2020 14:36,7810495210,72a277c26b40395112a9b4b9ce3c38b3,4607051790902 хна для окраски волос краска хна каштан 25г,,,54.0,1.0,54.0,
02694fecf588a0e38de2720f6dc83fdf,08.01.2020 14:36,7810495210,72a277c26b40395112a9b4b9ce3c38b3,4607051791565 хна для окраски волос краска хна оттеночная шоколад 25 г,,,54.0,1.0,54.0,
02694fecf588a0e38de2720f6dc83fdf,08.01.2020 14:36,7810495210,72a277c26b40395112a9b4b9ce3c38b3,"4690471022944 floom бум салфетки 24*24см 1 сл, белые 100шт",,,17.9,1.0,17.9,
02694fecf588a0e38de2720f6dc83fdf,08.01.2020 14:36,7810495210,72a277c26b40395112a9b4b9ce3c38b3,"4690471030420 мелки, ведро малое 8шт",,,52.5,1.0,52.5,
02694fecf588a0e38de2720f6dc83fdf,08.01.2020 14:36,7810495210,72a277c26b40395112a9b4b9ce3c38b3,"4690471030420 мелки, ведро малое 8шт",,,53.0,1.0,53.0,
02694fecf588a0e38de2720f6dc83fdf,08.01.2020 14:36,7810495210,72a277c26b40395112a9b4b9ce3c38b3,7322540523720 libres. natural care прокладки ultra normal duo 20шт,libresse,,77.0,1.0,77.0,
02694fecf588a0e38de2720f6dc83fdf,08.01.2020 14:36,7810495210,72a277c26b40395112a9b4b9ce3c38b3,7322540837261 libres. natural care прокладки ultra super 18шт,libresse,красота и здоровье; прокладки; личная гигиена,77.0,1.0,77.0,
026a59e264d061b6bdea7bb5bd314c4a,11.01.2020 15:37,2310031475,12732e98b8a068638b9825a514b95249,gillette mach3 кассеты д/станка 2шт (проктер):4/,gillette,кассеты для бритья; красота и здоровье; личная гигиена; mach3,399.0,1.0,399.0,39.9
026b7ae900670779d0b6f15a2aaca842,28.11.2019 17:32,7825706086,dc21b7e1a2fb79172a2724b0efe37aa5,2133901 discreet прокладки air ежед60шт,discreet,личная гигиена; красота и здоровье; прокладки,119.99,1.0,119.99,13.0
026b7ae900670779d0b6f15a2aaca842,28.11.2019 17:32,7825706086,dc21b7e1a2fb79172a2724b0efe37aa5,3179330 батон нарез.пшен.в/с в нар.380г,,нарезной; продукты; хлеб; хлеб и сладости,23.99,1.0,23.99,
026b7ae900670779d0b6f15a2aaca842,28.11.2019 17:32,7825706086,dc21b7e1a2fb79172a2724b0efe37aa5,3300573 пакет пятерочка 65х40см,пятерочка,пакеты; упаковка; прочее,5.0,1.0,5.0,
026b7ae900670779d0b6f15a2aaca842,28.11.2019 17:32,7825706086,dc21b7e1a2fb79172a2724b0efe37aa5,3398568 p.one корм сух.с инд/рис.750г,,корм; корм для кошек; сухой корм для кошек; товары для животных,199.99,1.0,199.99,
026b7ae900670779d0b6f15a2aaca842,28.11.2019 17:32,7825706086,dc21b7e1a2fb79172a2724b0efe37aa5,3501508 пиво zat.gus ст/б 0.48л,zatecky gus,пиво; алкоголь,49.99,1.0,49.99,
026b7ae900670779d0b6f15a2aaca842,28.11.2019 17:32,7825706086,dc21b7e1a2fb79172a2724b0efe37aa5,3601131 тавр пельм.тавров.кат.в 1кг,,,298.99,1.0,298.99,
026b7ae900670779d0b6f15a2aaca842,28.11.2019 17:32,7825706086,dc21b7e1a2fb79172a2724b0efe37aa5,3612838 кор.из кор.сыр.тв.ван.гл.м/ш50г,,,28.99,1.0,28.99,
026b7ae900670779d0b6f15a2aaca842,28.11.2019 17:32,7825706086,dc21b7e1a2fb79172a2724b0efe37aa5,3612839 кор.из кор.сыр.тв.ван.гл.т/ш50г,,сыр; продукты; молоко/сыр/яйца,28.99,1.0,28.99,
026b7ae900670779d0b6f15a2aaca842,28.11.2019 17:32,7825706086,dc21b7e1a2fb79172a2724b0efe37aa5,3957043 свитл.сырок твор.ван.гл16% 120г,,,59.99,1.0,59.99,
026b822ca2292c41212e74426e6b92d5,20.12.2019 16:42,2310031475,01ef849d5d1d67935849cd1b9a8973b6,clear шампунь глубок очищ п/перх 2в1 муж400мл(юн,clear,шампунь для волос; красота и здоровье; гигиена волос,297.9,1.0,297.9,
026b822ca2292c41212e74426e6b92d5,20.12.2019 16:42,2310031475,01ef849d5d1d67935849cd1b9a8973b6,clear шампунь энергия свежести муж 400мл (юнилев,clear,красота и здоровье; шампунь для волос; гигиена волос,1.0,1.0,1.0,
026b822ca2292c41212e74426e6b92d5,20.12.2019 16:42,2310031475,01ef849d5d1d67935849cd1b9a8973b6,lenor миндальное масло конц для чув/к 2л(проктер,lenor,,169.0,1.0,169.0,16.9
026b822ca2292c41212e74426e6b92d5,20.12.2019 16:42,2310031475,01ef849d5d1d67935849cd1b9a8973b6,organic shop шамп bio кофейный 250мл(перв реш):4,,шампунь для волос; гигиена волос; красота и здоровье,149.0,1.0,149.0,
026c2174d5a839ba9708849c7a68bc3c,15.01.2020 14:28,7453142976,e7ee633cdd43e196f71729a1233e4b63,бритва gillette mach3 start с,gillette,бритвенный станок; mach3; красота и здоровье; личная гигиена,409.99,1.0,409.99,41.0
026c2174d5a839ba9708849c7a68bc3c,15.01.2020 14:28,7453142976,e7ee633cdd43e196f71729a1233e4b63,дезодорант-антиперспирант rexo,,личная гигиена; красота и здоровье; дезодорант/антиперсперант,99.99,1.0,99.99,
026c2174d5a839ba9708849c7a68bc3c,15.01.2020 14:28,7453142976,e7ee633cdd43e196f71729a1233e4b63,лосьон п/бритья l'oreal 100мл,,,349.99,1.0,349.99,
026c2174d5a839ba9708849c7a68bc3c,15.01.2020 14:28,7453142976,e7ee633cdd43e196f71729a1233e4b63,мешок-майка пэ spar 580*370/10,,,4.9,1.0,4.9,
026c2174d5a839ba9708849c7a68bc3c,15.01.2020 14:28,7453142976,e7ee633cdd43e196f71729a1233e4b63,"напиток стом 1,5л черный чай с",,,69.99,1.0,69.99,
026c2174d5a839ba9708849c7a68bc3c,15.01.2020 14:28,7453142976,e7ee633cdd43e196f71729a1233e4b63,напиток энергетический tornado,,,35.99,1.0,35.99,
026c2174d5a839ba9708849c7a68bc3c,15.01.2020 14:28,7453142976,e7ee633cdd43e196f71729a1233e4b63,пена д/бритья gillette sensiti,gillette,средство для бритья; пена для бритья; красота и здоровье; личная гигиена,134.99,1.0,134.99,13.5
026c2174d5a839ba9708849c7a68bc3c,15.01.2020 14:28,7453142976,e7ee633cdd43e196f71729a1233e4b63,слойка забава с сыром 1кг,,хлеб и сладости; слойка; продукты; хлебобулочные изделия,219.9,0.228,50.14,
026c2174d5a839ba9708849c7a68bc3c,15.01.2020 14:28,7453142976,e7ee633cdd43e196f71729a1233e4b63,слойка с ветчиной и сыром 100г,,,34.9,1.0,34.9,
026c2174d5a839ba9708849c7a68bc3c,15.01.2020 14:28,7453142976,e7ee633cdd43e196f71729a1233e4b63,уголок с клубничной начинкой 9,,,25.9,1.0,25.9,
026cc8c7a80e77805bbab5305c84416d,28.01.2020 15:07,2310031475,2badda32c5519f80cf76e136bec8dd91,discreet deo ежедн прокладки waterlily 100шт(про,discreet,красота и здоровье; личная гигиена; прокладки,239.0,1.0,239.0,24.9
026cc8c7a80e77805bbab5305c84416d,28.01.2020 15:07,2310031475,2badda32c5519f80cf76e136bec8dd91,lactacyd fresh ср-во д/интим гигиены 200 мл(сопр,,,224.1,1.0,224.1,
026cc8c7a80e77805bbab5305c84416d,28.01.2020 15:07,2310031475,2badda32c5519f80cf76e136bec8dd91,"lenor кондиц д/бел конц la desirable 1,785л(прок",lenor,,189.9,1.0,189.9,19.99
026cc8c7a80e77805bbab5305c84416d,28.01.2020 15:07,2310031475,2badda32c5519f80cf76e136bec8dd91,пакет магнит косметик мал(пластиктрейд):300/2700,магнит косметик,упаковка; пакеты; прочее,3.9,1.0,3.9,
026cc8c7a80e77805bbab5305c84416d,28.01.2020 15:07,2310031475,2badda32c5519f80cf76e136bec8dd91,резинки для волос дет sg-747 (си):3/240,,,39.0,1.0,39.0,
026cc8c7a80e77805bbab5305c84416d,28.01.2020 15:07,2310031475,2badda32c5519f80cf76e136bec8dd91,резинки для волос черные тонкие (си):3/240,,,50.0,1.0,50.0,
026f190954b5489e1b4d92230f6cda0e,13.11.2019 15:26,2310031475,e7a52a2505670e227660e8692f134b67,aquafresh з/п intense clean глубок действ 75мл(d,,; ,119.0,1.0,119.0,
026f190954b5489e1b4d92230f6cda0e,13.11.2019 15:26,2310031475,e7a52a2505670e227660e8692f134b67,bref блок д/унитаз чарующий лунный цветок 2х50г,,; ,135.0,1.0,135.0,
026f190954b5489e1b4d92230f6cda0e,13.11.2019 15:26,2310031475,e7a52a2505670e227660e8692f134b67,bref туалетный блок свежесть лаванды 50гр(хенкел,bref,средство для мытья туалета; хозяйственные товары; средства для мытья туалета и ванны; средство для мытья туалета; хозяйственные товары; средства для мытья туалета и ванны,1.0,1.0,1.0,
026f190954b5489e1b4d92230f6cda0e,13.11.2019 15:26,2310031475,e7a52a2505670e227660e8692f134b67,bref туалетный блок свежесть лаванды 50гр(хенкел,bref,средство для мытья туалета; хозяйственные товары; средства для мытья туалета и ванны; средство для мытья туалета; хозяйственные товары; средства для мытья туалета и ванны,147.9,1.0,147.9,
026f190954b5489e1b4d92230f6cda0e,13.11.2019 15:26,2310031475,e7a52a2505670e227660e8692f134b67,dove бальзам интенсивное восстановление200мл (юн,,гигиена волос; красота и здоровье; бальзам для волос; гигиена волос; красота и здоровье; бальзам для волос,197.9,1.0,197.9,
026f190954b5489e1b4d92230f6cda0e,13.11.2019 15:26,2310031475,e7a52a2505670e227660e8692f134b67,dove гель д/душа глубок питание и увлажн250мл(юн,,личная гигиена; красота и здоровье; гель для душа; личная гигиена; красота и здоровье; гель для душа,1.0,1.0,1.0,
026f190954b5489e1b4d92230f6cda0e,13.11.2019 15:26,2310031475,e7a52a2505670e227660e8692f134b67,dove шампунь интенсивное восстановление 250мл(юн,,; ,197.9,1.0,197.9,
026f190954b5489e1b4d92230f6cda0e,13.11.2019 15:26,2310031475,e7a52a2505670e227660e8692f134b67,gillette fusion proglide flexball бр с 2 кас(про,gillette,красота и здоровье; бритвенный станок; forp&g; личная гигиена; красота и здоровье; бритвенный станок; forp&g; личная гигиена,705.0,1.0,705.0,70.5
026f190954b5489e1b4d92230f6cda0e,13.11.2019 15:26,2310031475,e7a52a2505670e227660e8692f134b67,gillette series гель д/бритья д/чувст кожи (прок,gillette,красота и здоровье; средство для бритья; гель для бритья; личная гигиена; красота и здоровье; средство для бритья; гель для бритья; личная гигиена,199.0,1.0,199.0,19.9
026f190954b5489e1b4d92230f6cda0e,13.11.2019 15:26,2310031475,e7a52a2505670e227660e8692f134b67,gillette simply venus 3 plus бритвы однор 3шт(gi,venus,личная гигиена; бритва женская; simple; бритвенный станок; красота и здоровье; одноразовые; личная гигиена; бритва женская; simple; бритвенный станок; красота и здоровье; одноразовые,269.0,1.0,269.0,
026f190954b5489e1b4d92230f6cda0e,13.11.2019 15:26,2310031475,e7a52a2505670e227660e8692f134b67,grass g-oxi пятновыводитель д/цвет вещей 500мл(т,,; ,69.9,1.0,69.9,
026f190954b5489e1b4d92230f6cda0e,13.11.2019 15:26,2310031475,e7a52a2505670e227660e8692f134b67,perfect fit kорм д/кош д/чувств с индейкой650г(м,perfect fit,корм для кошек; товары для животных; корм; корм для кошек; товары для животных; корм,159.1,1.0,159.1,
026f190954b5489e1b4d92230f6cda0e,13.11.2019 15:26,2310031475,e7a52a2505670e227660e8692f134b67,perfect fit kорм д/кош стер с курицей 85г (марс),perfect fit,корм; товары для животных; влажный корм для кошек; корм для кошек; корм; товары для животных; влажный корм для кошек; корм для кошек,25.0,2.0,50.0,
026f190954b5489e1b4d92230f6cda0e,13.11.2019 15:26,2310031475,e7a52a2505670e227660e8692f134b67,perfect fit корм д/кош стерил соус гов 85г пауч(,,; ,25.0,4.0,100.0,
026f190954b5489e1b4d92230f6cda0e,13.11.2019 15:26,2310031475,e7a52a2505670e227660e8692f134b67,splat juicy дет з/п укр мороженое(органик фармас,splat,; ,99.0,1.0,99.0,
026f190954b5489e1b4d92230f6cda0e,13.11.2019 15:26,2310031475,e7a52a2505670e227660e8692f134b67,titbit лакомство д/соб мюсли ягн/рис 40г фл/п(ру,,лакомство для собак; корм для собак; товары для животных; корм; лакомство для собак; корм для собак; товары для животных; корм,35.0,1.0,35.0,
026f190954b5489e1b4d92230f6cda0e,13.11.2019 15:26,2310031475,e7a52a2505670e227660e8692f134b67,zewa deluxe 3сл 8рул т/б белая(эссиэй хпр):7,zewa,; ,199.1,1.0,199.1,
026f190954b5489e1b4d92230f6cda0e,13.11.2019 15:26,2310031475,e7a52a2505670e227660e8692f134b67,карта лояльности магнит,магнит,прочее; лояльность; прочее; лояльность,0.0,1.0,0.0,
026f190954b5489e1b4d92230f6cda0e,13.11.2019 15:26,2310031475,e7a52a2505670e227660e8692f134b67,пакет магнит косметик больш(пластиктрейд):100/15,магнит косметик,пакеты; прочее; упаковка; пакеты; прочее; упаковка,5.9,1.0,5.9,
026f45db565da62c75bbdb7f6c06908d,12.01.2020 14:28,2310031475,d2ee21c1e8af5662383fb10c2e5ffb99,head&shoulders шамп осн уход д/норм волос 400мл(,head&shoulders,,205.0,1.0,205.0,20.5
026f45db565da62c75bbdb7f6c06908d,12.01.2020 14:28,2310031475,d2ee21c1e8af5662383fb10c2e5ffb99,syoss спрей-кондиц д/тонк лишен объем вол200мл(х,,,197.3,1.0,197.3,
026f567e0897bd39cefde79c98a4afca,18.12.2019 11:03,7825706086,43258e64a7190f6c665176a52b515042,2167862 тем.пюр.мясн.инд.гомог.10% 100г,,пюре детское; детское питание,56.99,1.0,56.99,
026f567e0897bd39cefde79c98a4afca,18.12.2019 11:03,7825706086,43258e64a7190f6c665176a52b515042,3271985 мираторг наггетсы хруст.кур300г,мираторг,полуфабрикаты и готовые блюда; продукты; наггетсы,69.99,1.0,69.99,
026f567e0897bd39cefde79c98a4afca,18.12.2019 11:03,7825706086,43258e64a7190f6c665176a52b515042,3271985 мираторг наггетсы хруст.кур300г,мираторг,полуфабрикаты и готовые блюда; продукты; наггетсы,70.0,1.0,70.0,
026f567e0897bd39cefde79c98a4afca,18.12.2019 11:03,7825706086,43258e64a7190f6c665176a52b515042,3396490 пятиг.хк батоннар.в/с нарез.370,,,32.99,1.0,32.99,
026f567e0897bd39cefde79c98a4afca,18.12.2019 11:03,7825706086,43258e64a7190f6c665176a52b515042,82533 анак.верм.с кур.бул.б/пр 60г,,продукты быстрого приготовления; лапша; бакалея; продукты,11.29,1.0,11.29,
026f567e0897bd39cefde79c98a4afca,18.12.2019 11:03,7825706086,43258e64a7190f6c665176a52b515042,82533 анак.верм.с кур.бул.б/пр 60г,,продукты быстрого приготовления; лапша; бакалея; продукты,11.29,5.0,56.45,
026f567e0897bd39cefde79c98a4afca,18.12.2019 11:03,7825706086,43258e64a7190f6c665176a52b515042,85038 h&s шамп.2в1 мент.п/перх400мл,head&shoulders,,219.99,1.0,219.99,22.0
026fd1149925c32b2589549a3ea3a878,30.11.2019 11:53,7729355029,56110c21f983d5684d4f5e2a1e0cb125,подгуз pampers premc 4 9-14кг 37,pampers,premium; уход за ребенком; подгузники; подгузники/пеленки/салфетки; forp&g,169.0,10.0,1690.0,169.0
026fd1149925c32b2589549a3ea3a878,30.11.2019 11:53,7729355029,56110c21f983d5684d4f5e2a1e0cb125,подгуз pampers premc 5 11+кг 28ш,pampers,premium; подгузники/пеленки/салфетки; forp&g; подгузники; уход за ребенком,199.0,2.0,398.0,39.8
026fd1149925c32b2589549a3ea3a878,30.11.2019 11:53,7729355029,56110c21f983d5684d4f5e2a1e0cb125,подгуз д/м huggies ucomfort 3 5-,huggies,подгузники/пеленки/салфетки; подгузники; уход за ребенком,230.0,1.0,230.0,
026fee5fbf9f525715c5a010af74ef99,21.01.2020 10:54,2310031475,944e77603e1a123def74c28943ae3e3f,always ultra прокладки normal 20шт (проктер):16,always,,199.0,1.0,199.0,19.9
027063dc876e86e52a3ef14cc59a6357,25.01.2020 12:00,7721546864,fde298efa0651c17aa01714fe1040ad9,"699962692, gillette, сменные кассеты mach3 turbo",gillette,кассеты для бритья; mach3; личная гигиена; красота и здоровье,372.0,1.0,372.0,37.2
027063dc876e86e52a3ef14cc59a6357,25.01.2020 12:00,7721546864,fde298efa0651c17aa01714fe1040ad9,"866182790, твое, брюки",,,518.0,1.0,518.0,
027063dc876e86e52a3ef14cc59a6357,25.01.2020 12:00,7721546864,fde298efa0651c17aa01714fe1040ad9,"971886437, sea of spa, гель для душа sea of spa с активными минералами мертвого моря (производство израиль)",,,121.0,1.0,121.0,
027063dc876e86e52a3ef14cc59a6357,25.01.2020 12:00,7721546864,fde298efa0651c17aa01714fe1040ad9,"971886632, sea of spa, шампунь-кондиционер для волос sea of spa с активными минералами мертвого моря (израиль)",,,121.0,1.0,121.0,
0270ddd3279c9b5a0400236758b64a52,08.01.2020 21:03,7825706086,8e946d776f90b66c1def4bf2b95360ca,3002391 g.bl.припр.традицион.универ.75г,,бакалея; продукты; приправы и специи,19.99,1.0,19.99,
0270ddd3279c9b5a0400236758b64a52,08.01.2020 21:03,7825706086,8e946d776f90b66c1def4bf2b95360ca,3230933 тенд.сахар-песок/сахар бел.1кг,,продукты; сахар; бакалея,27.49,1.0,27.49,
0270ddd3279c9b5a0400236758b64a52,08.01.2020 21:03,7825706086,8e946d776f90b66c1def4bf2b95360ca,3282824 шеба корм говяд/крол.85г,sheba,корм; влажный корм для кошек; товары для животных; корм для кошек,21.99,1.0,21.99,
0270ddd3279c9b5a0400236758b64a52,08.01.2020 21:03,7825706086,8e946d776f90b66c1def4bf2b95360ca,3282830 шеба корм кур/индейк. 85г,sheba,корм для кошек; корм; влажный корм для кошек; товары для животных,21.99,1.0,21.99,
0270ddd3279c9b5a0400236758b64a52,08.01.2020 21:03,7825706086,8e946d776f90b66c1def4bf2b95360ca,3299590 pant.шамп.pro-v aqua lig.400мл,pantene,,179.99,1.0,179.99,18.0
